시군구별(1),시군구별(2),2019,2019,2019,2019,2019
시군구별(1),시군구별(2),응답자수 (명),조율 (%),조율표준오차,표준화율 (%),표준화율표준오차
전라북도,소계,"12,406",7.1,0.4,6.7,0.4
,고창군,895,7.2,1.0,6.2,1.2
,군산시,899,6.6,0.9,6.5,1.2
,김제시,892,11.7,1.3,9.8,1.6
,남원시,888,5.3,0.8,4.4,1.0
,무주군,871,7.4,1.1,7.0,1.9
,부안군,889,7.0,1.0,6.9,1.5
,순창군,871,4.5,0.7,4.5,1.8
,완주군,894,5.1,0.8,4.8,0.8
,익산시,899,4.4,0.6,4.1,0.5
,임실군,876,4.2,0.7,3.5,1.1
,장수군,866,4.8,0.7,3.8,0.7
,전주시,900,8.8,0.9,8.4,0.8
,정읍시,894,7.5,0.9,6.5,1.0
,진안군,872,3.8,0.7,3.1,1.0
전라남도,소계,"19,520",4.6,0.2,4.2,0.3
,강진군,881,4.6,0.9,5.6,1.3
,고흥군,892,4.5,0.9,4.0,1.2
,곡성군,876,4.6,1.1,5.7,1.5
,광양시,896,4.0,0.7,4.1,0.8
,구례군,873,2.7,0.8,3.3,1.2
,나주시,891,3.5,0.7,3.5,0.9
,담양군,887,5.0,0.9,5.5,1.2
,목포시,898,1.5,0.4,1.2,0.3
,무안군,891,2.3,0.5,1.5,0.4
,보성군,884,3.3,0.7,3.5,1.3
,순천시,897,6.6,1.0,5.5,0.8
,신안군,883,3.7,0.8,3.1,1.0
,여수시,897,5.2,0.8,5.3,1.1
,영광군,887,3.3,0.5,3.3,0.8
,영암군,887,5.9,1.0,6.0,1.2
,완도군,887,3.7,0.7,3.1,0.9
,장성군,890,11.3,1.4,10.4,1.7
,장흥군,882,3.6,0.8,2.9,0.8
,진도군,878,2.1,0.5,1.7,0.9
,함평군,880,5.4,0.9,4.2,0.9
,해남군,891,7.7,1.2,6.3,1.4
,화순군,892,7.5,1.0,7.1,1.3
경상북도,소계,"22,174",6.6,0.2,6.5,0.3
,경산시,898,10.3,1.2,10.3,1.2
,경주시,902,7.4,0.8,7.8,1.2
,고령군,884,4.2,0.8,5.3,1.4
,구미시,"1,790",8.3,0.9,8.3,0.8
,군위군,870,3.7,0.7,2.1,0.8
,김천시,897,3.7,0.9,3.6,1.0
,문경시,887,6.2,0.9,6.3,1.3
,봉화군,878,7.6,1.0,8.1,1.9
,상주시,904,1.2,0.4,1.4,0.5
