"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","사이트유무","사이트URL","사용료무료여부","사용료","평일시작시간","평일종료시간","사용시간구분코드","사용시간구분","시작시간1","종료시간1","시작시간2","종료시간2","시작시간3","종료시간3","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"DJ191103","맘스하트카페 사당3동점","1002","열린육아방","11590","동작구","1001","영유아","126.96853","37.4928","06982","서울시 동작구 사당로 23길 254","별관1층","N","","N","2000","0930","1730","N","시간제운영","1000","1200","1330","1500","1600","1730","Y","0930","1730","2019-11-20 14:52:51.0","2019-11-29 15:35:58.0"
"GN191103","논현열린육아방","1002","열린육아방","11680","강남구","1001","영유아","127.0372","37.51728","06058","서울특별시 강남구 학동로 43길 17","2층 논현육아종합지원센터","Y","https://gncare.go.kr/gnccic_child/","Y","0","0900","1800","N","시간제운영","1000","1100","1300","1500","1530","1730","Y","0900","1400","2019-11-20 14:52:51.0","2021-07-12 17:16:36.0"
"DJ191104","맘스하트카페 신대방2동점","1002","열린육아방","11590","동작구","1001","영유아","126.9244","37.4984","06982","서울특별시 동작구 여의대방로24길 76","신대방2동주민센터 5층","Y","https://dccic.go.kr/html/sub/bindex.php?pno=090704","N","2000","0930","1730","N","시간제운영","1000","1200","1330","1500","1530","1700","N","","","2019-11-20 14:52:51.0","2019-11-29 14:55:49.0"
"YF191105","맘든든센터열린육아방3호점(당산1동)","1002","열린육아방","11560","영등포구","1001","영유아","126.89482","37.52839","07256","서울특별시 영등포구 선유동1로 80","영등포구청별관","Y","https://www.ydpccic.or.kr","Y","0","0930","1730","N","시간제운영","0930","1200","1300","1530","1530","1730","Y","0930","1500","2019-11-20 14:52:50.0","2019-11-26 17:18:17.0"
"YF191103","맘든든센터열린육아방1호점(신길4동)","1002","열린육아방","11560","영등포구","1001","영유아","126.91163","37.50717","07362","서울특별시 영등포구 신길로40길 5","3층","Y","https://www.ydpccic.or.kr","Y","0","0930","1730","N","시간제운영","0930","1200","1300","1530","1530","1730","Y","0930","1500","2019-11-20 14:52:50.0","2019-12-05 11:23:28.0"
"YF191106","맘든든센터열린육아방4호점(당산2동)","1002","열린육아방","11560","영등포구","1001","영유아","126.89735","37.53103","07217","서울시 영등포구 당산로41가길 7","당산2동주민센터3층","Y","https://www.ydpccic.or.kr","Y","0","0930","1730","N","시간제운영","0930","1200","1300","1530","1530","1730","Y","0930","1500","2019-11-20 14:52:50.0","2019-11-26 17:19:55.0"
"YF191104","맘든든센터열린육아방2호점(자치회관)","1002","열린육아방","11560","영등포구","1001","영유아","126.90365","37.52537","07244","서울시 영등포구 국회대로 44길 4","1층 (영등포동자치회관)","Y","https://www.ydpccic.or.kr","Y","0","0930","1730","N","시간제운영","0930","1200","1300","1530","1530","1730","Y","0930","1500","2019-11-20 14:52:50.0","2019-11-26 17:15:25.0"
"YF191107","영등포동 열린육아방","1002","열린육아방","11560","영등포구","1001","영유아","","","07250","서울시 영등포구 영등포로53길 ","22","N","","Y","0","0900","1700","Y","종일운영","0900","1700","","","","","N","","","2019-11-20 14:52:50.0","2019-11-26 15:43:50.0"
"YC191105","해우리열린육아방","1002","열린육아방","11470","양천구","1001","영유아","126.86549","37.53897","07958","서울특별시 양천구 목동중앙남로 57-10","2층 해우리열린육아방(아이맘카페)","Y","https://www.ychccic.or.kr","N","1000","1000","1700","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","0930","1300","2019-11-20 14:52:50.0","2019-12-09 14:30:57.0"
"YC191102","희망열린육아방","1002","열린육아방","11470","양천구","1001","영유아","126.85428","37.51856","08085","서울시 양천구 중앙로 32길 1(신정1동주민센터)","4층 희망장난감도서관","Y","https://www.ychccic.or.kr","N","1000","0930","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2019-11-20 14:52:49.0","2019-11-26 13:23:05.0"
