기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	성북구	정릉2동	8,957	2,284	2,593	2,116	1,509	359	78	18
2020	성북구	정릉3동	7,188	3,255	1,852	1,103	735	199	32	12
2020	성북구	정릉4동	9,865	2,659	2,837	2,245	1,647	383	76	18
2020	성북구	길음1동	11,850	1,721	2,694	3,298	3,380	627	108	22
2020	성북구	길음2동	6,401	1,666	1,664	1,564	1,174	270	51	12
2020	성북구	월곡1동	9,989	2,454	2,649	2,383	1,934	454	95	20
2020	성북구	월곡2동	8,962	3,767	2,175	1,523	1,139	286	57	15
2020	성북구	장위1동	8,056	2,487	2,286	1,676	1,230	300	58	19
2020	성북구	장위2동	5,870	2,030	1,720	1,150	720	196	44	10
2020	성북구	장위3동	6,759	1,839	1,745	1,582	1,259	274	49	11
2020	성북구	성북동	7,285	2,945	1,982	1,247	795	237	57	22
2020	성북구	삼선동	10,777	4,790	2,551	1,673	1,345	319	78	21
2020	성북구	동선동	8,633	5,186	1,684	965	607	149	36	6
2020	성북구	종암동	16,268	5,568	3,939	3,316	2,693	604	116	32
2020	성북구	석관동	15,419	5,492	4,233	3,137	1,986	454	98	19
2020	강북구	소계	129,805	45,685	36,432	25,261	17,339	4,048	836	204
2020	강북구	번1동	9,248	4,380	2,375	1,368	885	198	37	5
2020	강북구	번2동	6,986	2,250	2,237	1,408	833	201	51	6
2020	강북구	번3동	7,142	2,002	2,295	1,529	1,023	250	32	11
2020	강북구	수유1동	9,166	3,467	2,620	1,643	1,080	282	64	10
2020	강북구	수유2동	8,720	2,674	2,672	1,795	1,201	302	59	17
2020	강북구	수유3동	11,500	5,632	2,811	1,728	1,012	256	49	12
2020	강북구	삼양동	9,825	3,023	2,891	1,998	1,447	363	81	22
2020	강북구	미아동	10,522	4,807	2,685	1,675	1,052	239	48	16
2020	강북구	송중동	12,647	4,548	3,369	2,499	1,713	415	83	20
2020	강북구	송천동	11,934	4,508	3,338	2,202	1,465	343	67	11
2020	강북구	삼각산동	11,035	2,021	2,663	2,948	2,741	530	102	30
2020	강북구	우이동	8,286	2,436	2,586	1,749	1,159	279	62	15
2020	강북구	인수동	12,794	3,937	3,890	2,719	1,728	390	101	29
2020	도봉구	소계	127,362	34,884	37,166	28,658	21,089	4,478	856	231
2020	도봉구	쌍문1동	8,698	2,489	2,565	1,919	1,313	321	73	18
2020	도봉구	쌍문2동	7,935	2,457	2,376	1,659	1,152	228	46	17
2020	도봉구	쌍문3동	7,363	2,761	1,943	1,458	954	199	38	10
2020	도봉구	쌍문4동	6,768	1,238	1,827	1,799	1,575	277	45	7
2020	도봉구	방학1동	11,541	3,502	3,281	2,386	1,832	443	80	17
2020	도봉구	방학2동	8,473	2,768	2,612	1,647	1,114	255	63	14
2020	도봉구	방학3동	9,537	1,399	2,811	2,557	2,201	457	95	17
2020	도봉구	창1동	10,103	2,919	2,875	2,289	1,653	298	53	16
2020	도봉구	창2동	11,418	2,889	3,391	2,661	1,935	429	88	25
2020	도봉구	창3동	5,919	1,901	1,717	1,225	828	202	35	11
2020	도봉구	창4동	9,984	2,256	2,729	2,458	2,075	389	61	16
2020	도봉구	창5동	9,554	2,347	2,699	2,340	1,740	347	66	15
2020	도봉구	도봉1동	9,137	3,023	2,976	1,762	1,056	245	47	28
2020	도봉구	도봉2동	10,932	2,935	3,364	2,498	1,661	388	66	20
2020	노원구	소계	202,695	56,438	54,201	45,680	37,794	7,101	1,209	272
2020	노원구	월계1동	9,576	3,440	2,542	1,799	1,413	314	55	13
2020	노원구	월계2동	11,385	3,531	3,296	2,484	1,636	360	69	9
2020	노원구	월계3동	12,265	3,359	3,696	2,893	1,867	377	64	9
2020	노원구	공릉2동	15,508	4,783	3,581	3,296	3,113	597	113	25
2020	노원구	하계1동	10,616	3,265	2,623	2,273	2,032	358	48	17
2020	노원구	하계2동	7,924	1,481	2,013	2,021	2,024	333	44	8
2020	노원구	중계본동	7,869	1,105	1,631	2,054	2,443	528	86	22
2020	노원구	중계1동	8,642	1,070	1,571	2,536	2,980	439	39	7
2020	노원구	중계4동	7,865	2,081	2,132	1,763	1,519	311	44	15
2020	노원구	상계1동	14,538	3,454	4,129	3,405	2,775	631	117	27
2020	노원구	상계2동	7,961	2,415	1,945	1,692	1,524	296	72	17
2020	노원구	상계5동	10,025	3,030	2,916	2,156	1,527	323	59	14
2020	노원구	상계8동	8,738	1,954	2,463	2,311	1,728	242	32	8
